page,sentence,citations
15,"Summarization task can be either supervised or unsupervised (Mani
and Maybury 1999 [74]; Fattah and Ren 2009 [43]; Riedhammer et al",[74]; [43]
15,2010 [110]),[110]
15,"2009 [146])
–    Factorization with Given Bases (FGB) is a language model where sentence bases are the
     given bases and it utilizes document-term and sentence term matrices",[146]
15,"2011) [147])
–    Topic Aspect-Oriented Summarization (TAOS) is based on topic factors",[147]
15,"2015 [42])

f) Dialogue System

Dialogue systems are very prominent in real world applications ranging from providing
support to performing a particular action",[42]
15,"(Liddy, 2001) [68]","[68]; (Liddy, 2001)"
15,"The Linguistic String Project-Medical Language Processor
is one the large scale projects of NLP in the field of medicine [21, 53, 57, 71, 114]","[21, 53, 57, 71, 114]"
15,"The LSP-
MLP helps enabling physicians to extract and summarize information of any signs or
symptoms, drug dosage and response data with the aim of identifying possible side effects
of any medicine while highlighting or flagging data items [114]",[114]
16,"The Centre d’Informatique Hospitaliere
of the Hopital Cantonal de Geneve is working on an electronic archiving environment with
NLP features [81, 119]","[81, 119]"
16,"At later stage the
LSP-MLP has been adapted for French [10, 72, 94, 113], and finally, a proper NLP system
called RECIT [9, 11, 17, 106] has been developed using a method called Proximity Processing
[88]","[10, 72, 94, 113]; [9, 11, 17, 106]; [88]"
16,"It’s task was to implement a robust and multilingual system able to analyze/comprehend
medical sentences, and to preserve a knowledge of free text into a language independent
knowledge representation [107, 108]","[107, 108]"
16,"The Columbia university of New York has developed an
NLP system called MEDLEE (MEDical Language Extraction and Encoding System) that
identifies clinical information in narrative reports and transforms the textual information into
structured representation [45]",[45]
16,"3 NLP in talk

We next discuss some of the recent NLP projects implemented by various companies:

a) ACE Powered GDPR Robot Launched by RAVN Systems [134]

RAVN Systems, a leading expert in Artificial Intelligence (AI), Search and Knowledge
Management Solutions, announced the launch of a RAVN (“Applied Cognitive Engine”)
i",[134]
16,"com/stocks/news/read/33888795/RAVN_Systems_
Launch_the_ACE_Powered_GDPR_Robot

b) Eno A Natural Language Chatbot Launched by Capital One [56]

Capital One announces a chatbot for customers called Eno",[56]
17,"com/analysis/capital-one-natural-language-chatbot-eno/

c) Future of BI in Natural Language Processing [140]

Several companies in BI spaces are trying to get with the trend and trying hard to ensure that
data becomes more friendly and easily accessible",[140]
17,"com/eran-levy/489410/here-s-why-natural-language-
processing-future-bi

d) Using Natural Language Processing and Network Analysis to Develop a Conceptual
   Framework for Medication Therapy Management Research [97]

Natural Language Processing and Network Analysis to Develop a Conceptual Framework for
Medication Therapy Management Research describes a theory derivation process that is used
to develop a conceptual framework for medication therapy management (MTM) research",[97]
17,"dopt=Abstract

e) Meet the Pilot, world’s first language translating earbuds [96]

The world’s first smart earpiece Pilot will soon be transcribed over 15 languages",[96]
18,"introduced SST containing sentiment
   labels for 215,154 phrases in parse trees for 11,855 sentences from movie reviews posing
   novel sentiment compositional difficulties [127]",[127]
19,in 2011 [73],[73]
19,"The folder
   “Song Lyrics” in the corpus contains 339 Telugu song lyrics written in Telugu script
   [121]",[121]
19,"Its context is limited
   since it comprises sentences rather than paragraphs [76]",[76]
19,in) which has cataloged datasets [24],[24]
19,"It is
   available in 21 European languages [40]",[40]
20,"The neural learning models are overtaking traditional models for NLP [64, 127]","[64, 127]"
20,"In [64],
authors used CNN (Convolutional Neural Network) model for sentiment analysis of movie
reviews and achieved 81",[64]
20,"Authors [127] have combined SST and
Recursive Neural Tensor Network for sentiment analysis of the single sentence",[127]
20,"Authors [135] proposed a combined Recurrent Neural Network and Transformer
model for sentiment analysis",[135]
20,"[118] introduced a rational recurrent neural network with the capacity to learn
on classifying the information and perform complex reasoning based on the interactions
between compartmentalized information",[118]
20,"[86] extended conventional word-level language models based on Quasi-
Recurrent Neural Network and LSTM to handle the granularity at character and word level",[86]
20,"[70] used neural machine translation on the WMT14 dataset and performed
translation of English text to French text",[70]
21,"[41] introduced a gradient-based neural architecture search algorithm that
automatically finds architecture with better performance than a transformer, conventional
NMT models",[41]
21,"[150] introduced a deep learning approach based on domain adaptation
techniques for handling biomedical question answering tasks",[150]
21,"[158] designed a Memory-Augmented-Machine-Comprehension-Network
(MAMCN) to handle dependencies faced in reading comprehension",[158]
21,"[154] proposed a neural architecture where candidate answers and their repre-
sentation learning are constituent centric, guided by a parse tree",[154]
21,This helps the automatic process of natural languages [92],[92]
21,"Srihari [129] explains
the different generative models as one with a resemblance that is used to spot an unknown
speaker’s language and would bid the deep knowledge of numerous languages to perform the
match",[129]
21,"Whereas generative models can become troublesome when
many features are used and discriminative models allow use of more features [38]",[38]
22,"(2019) [61] used ML and AI to create a question-and-answer system for
retrieving information about hearing loss",[61]
22,"HMM is not restricted to this
application; it has several others such as bioinformatics problems, for example, multiple
sequence alignment [128]",[128]
22,"HMM may be used for a variety of
NLP applications, including word prediction, sentence production, quality assurance, and
intrusion detection systems [133]",[133]
22,"Initially focus was on feedforward [49] and
CNN (convolutional neural network) architecture [69] but later researchers adopted recurrent
neural networks to capture the context of a word with respect to surrounding words of a
sentence",[49]; [69]
23,"[47] In order to observe the word arrange-
ment in forward and backward direction, bi-directional LSTM is explored by researchers [59]",[47]; [59]
23,"[25, 33, 90, 148]","[25, 33, 90, 148]"
23,[90] used the BERT model to analyze the tweets on covid-19 content,[90]
23,[20],[20]
25,"One may further refer to the work of Sharifirad and Matwin (2019) [123] for
classification of different online harassment categories and challenges, Baclic et",[123]
25,"(2020) [6]
and Wong et al",[6]
25,"(2018) [151] for challenges and opportunities in public health, Kang et",[151]
25,"(2020) [63] for detailed literature survey and technological challenges relevant to management
research and NLP, and a recent review work by Alshemali and Kalita (2020) [3], and
references cited there in",[63]; [3]
25,"In the recent past, models dealing with Visual Commonsense Reasoning [31] and NLP
have also been getting attention of the several researchers and seems a promising and
challenging area to work upon",[31]
25,"In this direction, recently Wen and Peng (2020) [149] suggested a model to capture
knowledge from different perspectives, and perceive common sense in advance, and the results
based on the conducted experiments on visual commonsense reasoning dataset VCR seems
very satisfactory and effective",[149]
25,"The work of Peng and Chi (2019) [102], that proposes Domain
Adaptation with Scene Graph approach to transfer knowledge from the source domain with the
objective to improve cross-media retrieval in the target domain, and Yen et al",[102]
25,"(2019) [155] is
also very useful to further explore the use of NLP and in its relevant domains",[155]
26,"3738                                                     Multimedia Tools and Applications (2023) 82:3713–3744


that even though a great amount of work on natural language processing is available in
literature surveys (one may refer to [15, 32, 63, 98, 133, 151] focusing on one domain such
as usage of deep-learning techniques in NLP, techniques used for email spam filtering,
medication safety, management research, intrusion detection, and Gujarati language etc","[15, 32, 63, 98, 133, 151]"
27,"[5]
 18",[5]
30,"In Proceedings of the 1st International Conference on Natural Language
     Processing (ICON 2003)
106",(ICON 2003); (ICON 2003)
